"","EOO","AOO","Min elevation","Max elevation","Countries"
"Buceros bicornis","59363","116","4","1273","Malaysia"
"Anthracoceros albirostris","859856","708","2","1559","Malaysia"
"Rhinoplax vigil","675719","264","33","1273","Malaysia"
"Buceros rhinoceros","803481","576","13","1257","Brunei Darussalam, Malaysia"
"Anthracoceros malayanus","761746","528","3","1257","Malaysia"
"Anorrhinus galeritus","794203","396","13","1257","Indonesia, Malaysia"
"Rhyticeros undulatus","759472","320","13","1583","Malaysia, Thailand"
"Aceros corrugatus","497909","224","33","678","Malaysia"
"Berenicornis comatus","756920","232","10","1050","Malaysia"
"Rhyticeros subruficollis","1908","24","124","491","Malaysia"
"Upupa epops","0","8","3","3",""
"Tropicranus albocristatus","0","4",NA,NA,"Malaysia"
