species,long,lat
Buceros bicornis,100.597764,4.104389
Anthracoceros albirostris,103.129016,2.295507
Rhinoplax vigil,117.689499,4.965772
Buceros rhinoceros,117.689499,4.965772
Buceros rhinoceros,110.314346,1.750416
Buceros rhinoceros,118.215042,5.485974
Buceros rhinoceros,117.689499,4.965772
Anthracoceros albirostris,117.689499,4.965772
Anthracoceros albirostris,118.215042,5.485974
Anthracoceros malayanus,118.215042,5.485974
Anorrhinus galeritus,117.689499,4.965772
Anthracoceros albirostris,117.689499,4.965772
Anthracoceros malayanus,118.215042,5.485974
Anorrhinus galeritus,118.215042,5.485974
Anthracoceros albirostris,118.215042,5.485974
Anthracoceros malayanus,117.949516,5.884565
Anorrhinus galeritus,117.949516,5.884565
Anthracoceros albirostris,118.215042,5.485974
Anthracoceros malayanus,118.215042,5.485974
Anorrhinus galeritus,118.215042,5.485974
Anthracoceros albirostris,102.404198,4.381015
Rhyticeros undulatus,117.689499,4.965772
Aceros corrugatus,118.215042,5.485974
Berenicornis comatus,118.75,5.166667
Berenicornis comatus,118.215042,5.485974
Aceros corrugatus,118.215042,5.485974
Berenicornis comatus,118.215042,5.485974
Aceros corrugatus,118.215042,5.485974
Berenicornis comatus,118.75,5.166667
Anthracoceros albirostris,114.089239,4.427316
Anthracoceros albirostris,117.68898,4.959615
Anthracoceros albirostris,99.693487,6.239821
Anorrhinus galeritus,117.693787,4.956879
Anorrhinus galeritus,117.688293,4.97056
Anthracoceros albirostris,99.779011,6.366412
Anthracoceros malayanus,118.280911,5.498167
Buceros rhinoceros,118.280911,5.498167
Anthracoceros albirostris,118.280911,5.498167
Aceros corrugatus,118.297106,5.53757
Buceros rhinoceros,118.297106,5.53757
Anorrhinus galeritus,118.297106,5.53757
Anthracoceros malayanus,118.297106,5.53757
Anthracoceros albirostris,118.297106,5.53757
Anthracoceros malayanus,118.297106,5.53757
Anthracoceros albirostris,118.297106,5.53757
Anthracoceros malayanus,118.297106,5.53757
Buceros rhinoceros,117.944144,5.876139
Anthracoceros malayanus,118.297106,5.53757
Anthracoceros albirostris,118.297106,5.53757
Anthracoceros malayanus,117.944144,5.876139
Anthracoceros albirostris,118.118305,5.838202
Rhyticeros undulatus,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Anorrhinus galeritus,101.73666,3.716435
Anthracoceros albirostris,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Buceros rhinoceros,101.73666,3.716435
Buceros bicornis,101.73666,3.716435
Anthracoceros albirostris,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Rhyticeros undulatus,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Buceros bicornis,101.73666,3.716435
Anorrhinus galeritus,101.73666,3.716435
Rhyticeros undulatus,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Rhyticeros undulatus,99.675177,6.429692
Buceros bicornis,99.675177,6.429692
Anthracoceros albirostris,99.675177,6.429692
Aceros corrugatus,118.308662,5.543374
Buceros rhinoceros,118.308662,5.543374
Berenicornis comatus,118.308662,5.543374
Anthracoceros malayanus,118.308662,5.543374
Anorrhinus galeritus,118.308662,5.543374
Rhinoplax vigil,117.803576,4.962296
Anthracoceros albirostris,102.225546,2.493939
Anthracoceros malayanus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Rhyticeros undulatus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Anthracoceros malayanus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Anthracoceros malayanus,102.430299,4.396453
Anthracoceros malayanus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Rhyticeros undulatus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Anthracoceros malayanus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Anthracoceros malayanus,102.430299,4.396453
Buceros rhinoceros,102.430299,4.396453
Buceros rhinoceros,117.7462,5.0198
Anorrhinus galeritus,117.7462,5.0198
Aceros corrugatus,117.7462,5.0198
Buceros rhinoceros,117.7462,5.0198
Anorrhinus galeritus,117.7462,5.0198
Anthracoceros malayanus,117.7462,5.0198
Aceros corrugatus,117.7462,5.0198
Rhyticeros undulatus,117.7462,5.0198
Aceros corrugatus,118.710022,5.239341
Rhyticeros undulatus,118.075218,5.530219
Buceros rhinoceros,118.710022,5.239341
Anthracoceros albirostris,118.710022,5.239341
Anthracoceros albirostris,118.075218,5.530219
Anthracoceros malayanus,118.710022,5.239341
Anorrhinus galeritus,118.710022,5.239341
Anthracoceros malayanus,118.075218,5.530219
Anthracoceros malayanus,117.946146,5.873053
Buceros rhinoceros,118.368776,5.63281
Anthracoceros albirostris,118.368776,5.63281
Aceros corrugatus,117.946146,5.873053
Rhinoplax vigil,118.710022,5.239341
Anthracoceros malayanus,117.946146,5.873053
Anthracoceros albirostris,117.946146,5.873053
Anthracoceros albirostris,118.274706,5.502792
Anthracoceros albirostris,118.710022,5.239341
Anorrhinus galeritus,118.274706,5.502792
Buceros rhinoceros,118.710022,5.239341
Anthracoceros albirostris,118.710022,5.239341
Rhinoplax vigil,118.710022,5.239341
Anthracoceros albirostris,117.944144,5.876139
Buceros rhinoceros,117.944144,5.876139
Anthracoceros malayanus,118.710022,5.239341
Anorrhinus galeritus,118.710022,5.239341
Anthracoceros malayanus,117.944144,5.876139
Berenicornis comatus,118.710022,5.239341
Berenicornis comatus,110.197655,1.613402
Buceros rhinoceros,102.402178,4.397206
Anthracoceros malayanus,102.402178,4.397206
Rhyticeros undulatus,101.796876,3.427298
Buceros bicornis,102.020255,2.802841
Buceros rhinoceros,102.402178,4.397206
Anthracoceros albirostris,99.8,6.35
Buceros bicornis,99.8,6.35
Buceros bicornis,102.034729,2.831346
Rhyticeros subruficollis,100.9377,6.185547
Anthracoceros albirostris,100.9377,6.185547
Berenicornis comatus,100.9377,6.185547
Anthracoceros malayanus,100.9377,6.185547
Anthracoceros malayanus,101.167,3.4765
Anorrhinus galeritus,101.73666,3.716435
Anthracoceros albirostris,100.749972,4.857081
Anthracoceros albirostris,101.24382,3.33714
Anthracoceros malayanus,101.24382,3.33714
Anthracoceros albirostris,99.779011,6.366412
Buceros bicornis,99.779011,6.366412
Anthracoceros malayanus,117.944144,5.876139
Rhyticeros undulatus,101.73666,3.716435
Anthracoceros albirostris,118.710022,5.239341
Rhinoplax vigil,118.710022,5.239341
Anorrhinus galeritus,118.075218,5.530219
Anthracoceros malayanus,118.075218,5.530219
Buceros rhinoceros,118.075218,5.530219
Rhyticeros undulatus,118.075218,5.530219
Anthracoceros malayanus,118.710022,5.239341
Anthracoceros albirostris,118.075218,5.530219
Buceros rhinoceros,117.944144,5.876139
Anthracoceros malayanus,117.944144,5.876139
Anorrhinus galeritus,117.944144,5.876139
Aceros corrugatus,118.208385,5.494914
Anthracoceros albirostris,118.208385,5.494914
Anthracoceros malayanus,117.944144,5.876139
Buceros rhinoceros,118.710022,5.239341
Anthracoceros albirostris,118.710022,5.239341
Anorrhinus galeritus,118.710022,5.239341
Aceros corrugatus,102.402178,4.397206
Buceros rhinoceros,102.402178,4.397206
Anthracoceros albirostris,102.402178,4.397206
Buceros bicornis,102.402178,4.397206
Buceros rhinoceros,101.346248,5.571097
Berenicornis comatus,101.346248,5.571097
Anthracoceros albirostris,101.346248,5.571097
Buceros bicornis,101.346248,5.571097
Rhinoplax vigil,101.346248,5.571097
Buceros rhinoceros,101.25818,5.25999
Buceros rhinoceros,101.25818,5.25999
Rhinoplax vigil,101.25818,5.25999
Anthracoceros malayanus,101.503496,3.098267
Buceros rhinoceros,101.844807,3.409241
Anthracoceros albirostris,102.402178,4.397206
Buceros bicornis,102.402178,4.397206
Anorrhinus galeritus,117.948001,5.863039
Anthracoceros malayanus,117.948001,5.863039
Anthracoceros albirostris,116.045795,5.946333
Buceros rhinoceros,102.059251,4.6776
Anthracoceros malayanus,102.059251,4.6776
Buceros rhinoceros,102.059251,4.6776
Rhinoplax vigil,102.059251,4.6776
Anthracoceros albirostris,101.244941,4.0873
Anthracoceros albirostris,103.720594,1.517598
Aceros corrugatus,118.280911,5.498167
Anthracoceros albirostris,118.280911,5.498167
Anthracoceros albirostris,104.25843,1.614578
Buceros rhinoceros,118.297106,5.53757
Rhinoplax vigil,118.297106,5.53757
Anorrhinus galeritus,117.7462,5.0198
Anthracoceros malayanus,117.944144,5.876139
Rhinoplax vigil,117.7462,5.0198
Buceros rhinoceros,117.7462,5.0198
Anorrhinus galeritus,117.7462,5.0198
Anthracoceros malayanus,117.7462,5.0198
Anthracoceros malayanus,104.005036,2.1495
Anthracoceros albirostris,104.005036,2.1495
Anthracoceros malayanus,103.594955,2.248573
Anorrhinus galeritus,103.892877,1.861087
Anthracoceros malayanus,103.892877,1.861087
Buceros rhinoceros,101.778116,3.165926
Buceros bicornis,101.748492,3.694075
Buceros rhinoceros,101.24382,3.33714
Anthracoceros albirostris,99.856041,6.299776
Anthracoceros malayanus,101.24382,3.33714
Anorrhinus galeritus,101.24382,3.33714
Buceros rhinoceros,116.700737,6.045708
Buceros bicornis,101.748492,3.694075
Anthracoceros albirostris,99.856041,6.299776
Anthracoceros albirostris,99.856041,6.299776
Anthracoceros albirostris,99.856041,6.299776
Anthracoceros albirostris,104.25843,1.614578
Anthracoceros albirostris,104.145219,1.843427
Anthracoceros albirostris,103.82889,2.508431
Rhyticeros undulatus,118.297106,5.53757
Anthracoceros albirostris,118.297106,5.53757
Rhinoplax vigil,118.297106,5.53757
Anthracoceros malayanus,117.7462,5.0198
Rhyticeros undulatus,116.700737,6.045708
Anthracoceros albirostris,118.785845,4.59622
Buceros rhinoceros,117.7462,5.0198
Anthracoceros malayanus,117.7462,5.0198
Buceros rhinoceros,117.7462,5.0198
Anthracoceros malayanus,117.7462,5.0198
Anthracoceros albirostris,118.379218,5.685755
Buceros rhinoceros,118.379218,5.685755
Anthracoceros malayanus,118.379218,5.685755
Anorrhinus galeritus,118.379218,5.685755
Buceros rhinoceros,117.7462,5.0198
Anorrhinus galeritus,116.547317,6.030071
Buceros rhinoceros,117.944144,5.876139
Aceros corrugatus,118.187745,5.468624
Anthracoceros albirostris,118.187745,5.468624
Anorrhinus galeritus,117.944144,5.876139
Anthracoceros malayanus,117.944144,5.876139
Anthracoceros malayanus,118.187745,5.468624
Rhyticeros undulatus,116.547317,6.030071
Berenicornis comatus,102.402178,4.397206
Rhyticeros undulatus,102.402178,4.397206
Berenicornis comatus,102.402178,4.397206
Anthracoceros malayanus,102.402178,4.397206
Berenicornis comatus,102.402178,4.397206
Anthracoceros albirostris,117.88269,5.475822
Anthracoceros albirostris,117.88269,5.475822
Aceros corrugatus,117.88269,5.475822
Anthracoceros albirostris,117.429849,5.367422
Anorrhinus galeritus,117.429849,5.367422
